ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
242,Student_242,9.6,92,95.1,A,Pass,77.38
243,Student_243,9.2,94,55.1,F,Pass,53.7
246,Student_246,9.4,85,90.5,A,Pass,73.17999999999999
248,Student_248,9.7,87,86.6,B,Pass,71.3
249,Student_249,9.7,56,79.4,C,Pass,60.78
250,Student_250,8.7,54,50.6,F,Pass,42.9
253,Student_253,8.7,100,96.2,A,Pass,79.46
257,Student_257,9.4,59,83.6,B,Pass,63.84
262,Student_262,9.9,80,84.0,B,Pass,68.38000000000001
265,Student_265,8.9,51,70.5,C,Pass,54.28
271,Student_271,8.3,51,85.7,B,Pass,63.28
272,Student_272,8.3,81,49.6,F,Pass,47.61999999999999
273,Student_273,8.8,62,67.7,D,Pass,54.78
274,Student_274,9.2,95,40.6,F,Pass,45.2
277,Student_277,8.2,90,99.5,A,Pass,79.33999999999999
280,Student_280,8.2,80,88.0,B,Pass,70.44
281,Student_281,9.0,83,52.2,F,Pass,49.72
293,Student_293,8.4,83,52.1,F,Pass,49.54
306,Student_306,9.8,76,63.5,D,Pass,55.260000000000005
309,Student_309,8.2,71,40.2,F,Pass,39.96
314,Student_314,9.7,75,75.3,C,Pass,62.12
315,Student_315,8.5,67,68.9,D,Pass,56.440000000000005
325,Student_325,9.6,78,89.5,B,Pass,71.22
337,Student_337,8.7,95,66.0,D,Pass,60.34
352,Student_352,8.7,96,74.3,C,Pass,65.52
359,Student_359,9.5,66,89.9,B,Pass,69.04
365,Student_365,9.5,65,65.8,D,Pass,54.38
367,Student_367,9.7,69,90.5,A,Pass,70.03999999999999
368,Student_368,9.1,55,51.2,F,Pass,43.54
377,Student_377,8.6,98,83.8,B,Pass,71.6
379,Student_379,8.3,73,49.5,F,Pass,45.96
384,Student_384,8.9,65,97.4,A,Pass,73.22
386,Student_386,8.2,57,43.4,F,Pass,39.08
390,Student_390,8.3,78,94.4,A,Pass,73.9
391,Student_391,9.9,57,55.0,F,Pass,46.38
396,Student_396,9.4,56,43.9,F,Pass,39.42
397,Student_397,8.7,52,69.3,D,Pass,53.72
402,Student_402,9.1,69,71.9,C,Pass,58.76
404,Student_404,8.4,64,60.8,D,Pass,50.96
406,Student_406,9.1,79,41.3,F,Pass,42.4
409,Student_409,9.1,66,73.6,C,Pass,59.18
412,Student_412,9.6,85,65.1,D,Pass,57.98
413,Student_413,9.6,58,55.6,F,Pass,46.88
421,Student_421,8.1,62,69.99137749737118,D,Pass,56.0148264984227
422,Student_422,8.1,66,76.5,C,Pass,60.72
428,Student_428,9.0,95,69.99137749737118,D,Pass,62.7948264984227
438,Student_438,8.4,90,67.5,D,Pass,60.18
442,Student_442,9.9,100,91.0,A,Pass,76.58
445,Student_445,8.3,66,64.7,D,Pass,53.68000000000001
446,Student_446,9.5,61,79.1,C,Pass,61.56
447,Student_447,9.9,95,72.7,C,Pass,64.6
454,Student_454,9.2,82,52.1,F,Pass,49.5
465,Student_465,9.7,79,67.1,D,Pass,58.0
468,Student_468,8.8,75,41.6,F,Pass,41.72
470,Student_470,9.7,88,67.8,D,Pass,60.22
472,Student_472,9.7,87,72.3,C,Pass,62.72
474,Student_474,9.0,75,46.3,F,Pass,44.58
476,Student_476,9.9,99,89.3,B,Pass,75.36
479,Student_479,9.7,91,97.9,A,Pass,78.88
486,Student_486,9.1,58,87.9,B,Pass,66.16
489,Student_489,9.6,88,72.0,C,Pass,62.72
490,Student_490,9.0,80,49.5,F,Pass,47.5
499,Student_499,9.8,69,52.1,F,Pass,47.02
500,Student_500,9.9,96,51.1,F,Pass,51.84
504,Student_504,8.3,65,66.4,D,Pass,54.5
507,Student_507,9.2,71,92.9,A,Pass,71.78
508,Student_508,8.4,75,88.2,B,Pass,69.60000000000001
509,Student_509,9.5,52,70.3,C,Pass,54.48
513,Student_513,9.4,60,80.1,B,Pass,61.94
514,Student_514,8.8,67,78.1,C,Pass,62.01999999999999
518,Student_518,8.3,62,49.7,F,Pass,43.88
519,Student_519,9.9,74,40.8,F,Pass,41.26
523,Student_523,9.7,95,69.99137749737118,D,Pass,62.9348264984227
524,Student_524,8.6,85,44.8,F,Pass,45.6
525,Student_525,8.5,94,83.9,B,Pass,70.84
530,Student_530,8.8,93,82.6,B,Pass,69.92
531,Student_531,8.3,67,58.9,F,Pass,50.39999999999999
532,Student_532,10.0,55,68.3,D,Pass,53.98
533,Student_533,10.0,67,89.3,B,Pass,68.98
536,Student_536,9.5,86,69.99137749737118,D,Pass,61.0948264984227
537,Student_537,8.6,81,89.7,B,Pass,71.74
541,Student_541,9.6,59,89.6,B,Pass,67.48
552,Student_552,8.7,80,68.3,D,Pass,58.72
555,Student_555,8.9,86,47.6,F,Pass,47.54
569,Student_569,9.1,51,52.8,F,Pass,43.7
572,Student_572,8.1,85,79.2,C,Pass,66.14000000000001
575,Student_575,8.8,91,86.0,B,Pass,71.56
576,Student_576,9.5,100,87.3,B,Pass,74.28
578,Student_578,9.3,61,55.6,F,Pass,47.42
582,Student_582,9.8,89,46.7,F,Pass,47.78
595,Student_595,9.1,63,91.5,A,Pass,69.32
612,Student_612,8.2,74,69.99137749737118,D,Pass,58.43482649842271
615,Student_615,8.9,84,75.9,C,Pass,64.12
616,Student_616,9.3,86,57.8,F,Pass,53.74
619,Student_619,8.3,89,69.99137749737118,D,Pass,61.45482649842271
632,Student_632,9.1,78,69.99137749737118,D,Pass,59.41482649842271
646,Student_646,9.0,92,59.0,F,Pass,55.6
649,Student_649,8.1,86,76.1,C,Pass,64.48
662,Student_662,9.9,63,97.0,A,Pass,72.78
672,Student_672,9.1,86,48.4,F,Pass,48.06
676,Student_676,9.8,100,68.9,D,Pass,63.3
679,Student_679,9.7,91,56.8,F,Pass,54.22
680,Student_680,8.8,69,52.4,F,Pass,46.99999999999999
681,Student_681,8.4,99,71.0,C,Pass,64.08000000000001
685,Student_685,9.4,74,42.2,F,Pass,42.00000000000001
706,Student_706,9.9,57,65.3,D,Pass,52.56
708,Student_708,8.3,81,94.5,A,Pass,74.55999999999999
716,Student_716,9.4,75,78.2,C,Pass,63.8
717,Student_717,8.5,92,43.1,F,Pass,45.96000000000001
718,Student_718,9.7,59,55.5,F,Pass,47.03999999999999
721,Student_721,9.4,67,81.2,B,Pass,64.0
726,Student_726,8.6,89,47.3,F,Pass,47.9
728,Student_728,8.2,61,85.1,B,Pass,64.89999999999999
732,Student_732,8.3,95,96.5,A,Pass,78.56
736,Student_736,8.9,68,75.6,C,Pass,60.74
738,Student_738,8.3,65,78.2,C,Pass,61.58
746,Student_746,9.1,99,72.0,C,Pass,64.82
749,Student_749,9.2,82,65.3,D,Pass,57.42
752,Student_752,9.5,97,74.6,C,Pass,66.06
756,Student_756,8.1,80,60.6,D,Pass,53.98
759,Student_759,9.0,53,90.7,A,Pass,66.82000000000001
760,Student_760,8.1,83,81.5,B,Pass,67.12
768,Student_768,8.9,67,89.3,B,Pass,68.76
770,Student_770,8.4,90,95.0,A,Pass,76.68
772,Student_772,8.6,68,59.1,F,Pass,50.78
775,Student_775,8.2,50,76.1,C,Pass,57.3
786,Student_786,9.2,68,78.7,C,Pass,62.66
790,Student_790,9.5,98,64.6,D,Pass,60.26
796,Student_796,8.8,75,99.3,A,Pass,76.34
797,Student_797,9.4,60,67.2,D,Pass,54.2
800,Student_800,9.3,95,69.1,D,Pass,62.31999999999999
807,Student_807,9.4,70,63.3,D,Pass,53.86
808,Student_808,9.3,75,49.6,F,Pass,46.62
811,Student_811,9.9,51,67.5,D,Pass,52.68
812,Student_812,8.6,55,57.4,F,Pass,47.16
814,Student_814,9.3,78,47.0,F,Pass,45.66
815,Student_815,8.8,75,97.4,A,Pass,75.2
821,Student_821,8.2,86,57.3,F,Pass,53.22
826,Student_826,9.3,92,72.5,C,Pass,63.760000000000005
837,Student_837,9.2,92,60.5,D,Pass,56.540000000000006
844,Student_844,9.6,100,66.6,D,Pass,61.88
848,Student_848,10.0,62,99.6,A,Pass,74.16
854,Student_854,9.1,97,63.7,D,Pass,59.440000000000005
869,Student_869,8.8,62,92.6,A,Pass,69.72
870,Student_870,9.5,53,96.6,A,Pass,70.46000000000001
885,Student_885,8.2,91,91.9,A,Pass,74.98
892,Student_892,8.7,94,52.0,F,Pass,51.74
893,Student_893,8.5,91,46.6,F,Pass,47.86
898,Student_898,9.1,71,43.7,F,Pass,42.24
906,Student_906,9.0,91,69.99137749737118,D,Pass,61.9948264984227
907,Student_907,8.4,57,83.4,B,Pass,63.12
918,Student_918,9.5,85,80.6,B,Pass,67.25999999999999
921,Student_921,8.8,74,40.9,F,Pass,41.1
923,Student_923,9.1,68,69.99137749737118,D,Pass,57.41482649842271
924,Student_924,8.2,85,84.4,B,Pass,69.28
932,Student_932,8.5,93,45.3,F,Pass,47.48
933,Student_933,9.9,83,69.3,D,Pass,60.16
938,Student_938,9.2,97,60.9,D,Pass,57.78
944,Student_944,8.5,81,71.4,C,Pass,60.74000000000001
948,Student_948,9.1,63,87.7,B,Pass,67.03999999999999
949,Student_949,8.9,62,82.4,B,Pass,63.620000000000005
954,Student_954,9.2,70,53.9,F,Pass,48.17999999999999
972,Student_972,9.4,94,69.99137749737118,D,Pass,62.67482649842271
990,Student_990,8.4,54,84.9,B,Pass,63.42000000000001
991,Student_991,8.2,93,59.1,F,Pass,55.7
997,Student_997,9.3,57,43.8,F,Pass,39.54
999,Student_999,9.6,52,40.2,F,Pass,36.440000000000005
